X,Y,FID,ID,Name,EmplRange,NAICSCode,NAICSSecto,NAICSDescr,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,PostalCode,BuildingNo,UnitNo,Modified,ChArea,Ward,BIA
-79.6558311320673,43.6988105043393,15,52,Elite Personnel,1 to 4,561320,Administrative,Temporary Help Services,905-678-6537,905-678-6863, ,info@elitepersonnel.ca,www.elitepersonnel.ca,7171,Torbram Rd,L4T 3W4, ,5,2022/06/17 00:00:00+00,Northeast EA (West),5, 
-79.6563393865671,43.6961437622963,16,53,Kenex Coatings Inc.,10 to 19,332810,Manufacturing,"Coating, Engraving, Cold and Heat Treating and Allied Activities",905-672-8883,905-672-8205, ,admin@kenex.ca,www.kenex.ca,7110,Torbram Rd,L4T 4B5, , ,2022/06/17 00:00:00+00,Northeast EA (West),5, 
-79.6559279937335,43.6958732609991,17,54,Bolts Plus + Inc.,20 to 49,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",905-673-3331,905-673-3332, ,info@boltsplus.ca,www.boltsplus.ca,7100,Torbram Rd,L4T 4B5, , ,2022/06/15 00:00:00+00,Northeast EA (West),5, 
-79.6739196559891,43.6852764031255,18,58,Giraffe Food and Beverage Inc.,100 to 299,311930,Manufacturing,Flavouring Syrup and Concentrate Manufacturing,905-678-2783,905-678-3277,1-800-661-5788,customerservice@giraffefoods.com,www.giraffefoods.com,1774,Drew Rd,L5S 1J6, , ,2022/06/08 00:00:00+00,Northeast EA (West),5, 
-79.6643083256658,43.5675583199352,19,3997,Central Parkway Pharmacy,5 to 9,446110,Retail,Pharmacies and Drug Stores,905-272-2400,905-272-2450, ,centralparkwaypharmacy@yahoo.ca, ,1300,Central Pky W,L5C 4G8, ,106,2022/08/18 00:00:00+00,Mavis-Erindale EA,6, 
-79.6669749163039,43.6844596421531,20,67,Precision Auto & Truck Repair Inc.,1 to 4,811111,Other Services,General Automotive Repair,905-673-9991, , ,Snoryder@yahoo.ca, ,7090,Tranmere Dr,L5S 1L9, ,3,2022/06/22 00:00:00+00,Northeast EA (West),5, 
-79.6242680570485,43.7141832820753,21,69,Evotech Industrial Coatings,5 to 9,418410,Wholesale,Chemical (except Agricultural) and Allied Product Wholesaler-Distributors,905-673-9449,905-673-0669, ,cs-mississauga@evotechind.com,www.evotechindustrialcoatings.com,6815,Rexwood Rd,L4V 1S4, ,5 to 7,2022/07/04 00:00:00+00,Northeast EA (East),5, 
-79.6559512842245,43.6935106392972,22,70,SpeedPro Signs,1 to 4,323115,Manufacturing,Digital Printing,905-671-0322,905-671-8003, ,info@speedprosigns.ca,www.speedprosigns.ca,2410,Lucknow Dr,L5S 1V1, ,21,2022/07/21 00:00:00+00,Northeast EA (West),5, 
-79.6833356541289,43.6706103577843,23,73,Salit Tube and Steel Inc.,10 to 19,418920,Wholesale,"Mineral, Ore and Precious Metal Wholesaler-Distributors",905-564-0554,905-564-0445,1-877-395-0554, ,www.salitsteel.com,1153,Lorimar Dr,L5S 1M5, , ,2022/06/07 00:00:00+00,Northeast EA (West),5, 
-79.6735338847228,43.6797197300199,24,76,Scali's Quality Meats Inc.,10 to 19,413160,Wholesale,Red Meat and Meat Product Wholesaler-Distributors,905-612-8282,905-612-8875, ,Scalimeats@gmail.com, ,7875,Tranmere Dr,L5S 1T8, ,1,2022/06/09 00:00:00+00,Northeast EA (West),5, 
-79.6245935288203,43.6978661199609,25,78,Surethik,1 to 4,414520,Wholesale,"Toiletries, Cosmetics and Sundries Wholesaler-Distributors",905-532-9182, , ,admin@surelik.com, ,3182,Orlando Dr,L4V 1R5, ,9,2022/07/06 00:00:00+00,Northeast EA (East),5, 
-79.6355034093022,43.6444141066133,26,82,A & W,10 to 19,722512,Accommodation,Limited-service eating places,647-479-7881, , , ,www.aw.ca,1465,Aerowood Dr,L4W 1C2, , ,2022/05/27 00:00:00+00,Northeast EA (West),5, 
-79.6559512842245,43.6935106392972,27,84,Mega Resistors Corp.,20 to 49,811310,Other Services,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,905-908-2376,905-908-2377, ,info@megaresistors.com,www.megaresistors.com,2430,Lucknow Dr,L5S 1V3, ,14 to 17,2022/06/28 00:00:00+00,Northeast EA (West),5, 
-79.6461455935806,43.6532747868247,28,87,Amarz Muffler & Auto Service,1 to 4,811111,Other Services,General Automotive Repair,905-564-0090,905-564-0099, ,amarzmuffler@on.aibn.com,www.amarz.ca,5890,Dixie Rd,L4W 1E9, ,2,2021/06/28 00:00:00+00,Northeast EA (West),5, 
-79.6279556969782,43.6390955010813,29,88,Lean Body Studio,1 to 4,713940,Arts,Fitness and Recreational Sports Centres,416-882-7752, , ,info@leanbodystudio.com,www.leanbodystudio.com,5200,Dixie Rd,L4W 1E4, ,7,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6461455935806,43.6532747868247,30,91,Modernized Auto and Truck Center,5 to 9,811111,Other Services,General Automotive Repair,905-670-9696,905-670-9656, , , ,5900,Dixie Rd,L4W 1E9, ,12,2022/05/20 00:00:00+00,Northeast EA (West),5, 
-79.6480689855677,43.6536225411854,31,92,California Sandwiches,5 to 9,722512,Accommodation,Limited-service eating places,905-564-3440,905-564-3441, , ,www.eatcalifornia.ca,5950,Dixie Rd,L4W 1E9, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6628087431888,43.7025830646456,32,97,Tint City,1 to 4,811112,Other Services,Automotive Exhaust System Repair,905-671-2020, , , , ,7385,Torbram Rd,L4T 3Y9, ,8,2022/07/22 00:00:00+00,Northeast EA (West),5, 
-79.6683268597785,43.7014407917583,33,99,Rush Truck Centres,100 to 299,415120,Wholesale,"Truck, Truck Tractor and Bus Wholesaler-Distributors",905-671-7600,905-672-6550, , ,www.rushtruckcentres.ca,7450,Torbram Rd,L4T 1G9, , ,,Northeast EA (West),5, 
-79.6988952583807,43.6464313359554,34,104,Amada Canada Ltd.,20 to 49,417930,Wholesale,"Professional Machinery, Equipment and Supplies Wholesaler-Distributors",905-676-9610,905-676-9266,1-800-561-4578, ,www.amada.ca,155,Admiral Blvd,L5T 2T3, , ,2022/06/01 00:00:00+00,Gateway EA (East),5, 
-79.6986350303162,43.6466627094098,35,107,V C M Solution Inc.,1 to 4,532490,Real Estate,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,905-602-8952, ,1-866-971-8927,info@vcmsolutions.ca,www.vcmsolutions.ca,165,Admiral Blvd,L5T 2T3, , ,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.6981145708452,43.6471254454647,36,112,E Z Rect Manufacturing Ltd.,1 to 4,337215,Manufacturing,"Showcase, Partition, Shelving and Locker Manufacturing",905-564-0890,905-564-0953, ,torontosales@ezrect.ca,www.ezrect.ca,185,Admiral Blvd,L5T 2T3, , ,2022/06/01 00:00:00+00,Gateway EA (East),5, 
-79.6392529414103,43.657422487106,37,1587,Platinum Fabrics & Upholstery Ltd.,10 to 19,811420,Other Services,Reupholstery and Furniture Repair,905-564-9608, , ,info@platinum-upholstery.ca,www.platinum-upholstery.ca,5915,Atlantic Dr,L4W 1S4, ,3,2021/07/08 00:00:00+00,Northeast EA (West),5, 
-79.6978543417236,43.6473568170952,38,113,Dun Rite Plastics and Custom Fabrication,10 to 19,326198,Manufacturing,All Other Plastic Product Manufacturing,905-564-0209,905-564-4864, , ,www.dun-riteplastics.com,195,Admiral Blvd,L5T 2T3, , ,2021/05/05 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,39,118,Dependable Overhead Door Service of Bramalea Ltd.,10 to 19,238350,Construction,Finish Carpentry Contractors,905-670-0248,905-670-9578,1-800-390-9142, ,www.dependabledoorservice.ca,335,Admiral Blvd,L5T 2N2, ,23&24,2022/06/03 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,40,119,Mr. Electric,10 to 19,238210,Construction,Electrical Contractors and Other Wiring Installation Contractors,905-795-9556,905-795-8138,1-866-965-9556,service@mrelectricgta.com,www.mrelectric.com,335,Admiral Blvd,L5T 2N2, ,8,2021/06/23 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,41,120,Heidenhain Corp. Canada,1 to 4,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",905-670-8900,905-670-4426, ,infocanada@heidenhain.com,www.heidenhain.com,335,Admiral Blvd,L5T 2N2, ,11&12,2019/12/12 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,42,124,Amlin Contracting Ltd.,5 to 9,236220,Construction,Commercial and Institutional Building Construction,905-565-6209,905-565-6209, , , ,335,Admiral Blvd,L5T 2N2, ,9&10,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,43,128,Allure Inc.,1 to 4,337920,Manufacturing,Blind and Shade Manufacturing,905-670-1692, , , , ,335,Admiral Blvd,L5T 2N2, ,1-2,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,44,129,Peel Speech Clinic,1 to 4,621340,Health Care,"Offices of Physical, Occupational, and Speech Therapists and Audiologists",905-362-1500,905-362-2317, ,speechclinic@davropm.com,www.peelspeechclinic.com,335,Admiral Blvd,L5T 2N2, ,7,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,45,133,SERVICARE INTERIORS Inc.,20 to 49,561722,Administrative,Janitorial Services (except Window Cleaning),905-564-8024,905-564-1785, ,info@servicareinteriors.com,www.servicareinteriors.com,335,Admiral Blvd,L5T 2N2, ,15,2021/06/15 00:00:00+00,Gateway EA (East),5, 
-79.695485425722,43.6498238901914,46,135,O T N Y Enterprise Ltd.,10 to 19,332619,Manufacturing,Other Fabricated Wire Product Manufacturing,905-795-7838,905-795-7838, ,otny@otnywire.com,www.otnywire.com,335,Admiral Blvd,L5T 2N2, ,3,2017/11/09 00:00:00+00,Gateway EA (East),5, 
-79.6398896392983,43.6001207250345,47,138,The Woodbridge Group,100 to 299,326150,Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,905-896-3626,905-896-9262, ,office_services@woodbridgegroup.com,www.woodbridgegroup.com,4240,Sherwoodtowne Blvd,L4Z 2G6, , ,2019/12/12 00:00:00+00,DT Core,4, 
-79.6944398159815,43.6507757693231,48,144,Sentinel Pole & Traffic Equipment Ltd.,5 to 9,416110,Wholesale,Electrical Wiring and Construction Supplies Wholesaler-Distributors,905-564-2929,905-564-0755, ,info@sentineltraffic.com,www.sentineltraffic.com,375,Admiral Blvd,L5T 2N1, ,3,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,49,145,Crown Distributors Ltd.,1 to 4,416110,Wholesale,Electrical Wiring and Construction Supplies Wholesaler-Distributors,905-670-3393, , ,toronto@crowndistributors.ca,www.ortechindustries.ca,375,Admiral Blvd,L5T 2N1, ,4,2017/11/09 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,50,147,Canadian Engravers Supply Co. Ltd.,10 to 19,417930,Wholesale,"Professional Machinery, Equipment and Supplies Wholesaler-Distributors",905-795-1262,905-795-0219, ,sales@cesco.ca,www.cesco.ca,385,Admiral Blvd,L5T 2M8, ,1 to 2,2018/12/30 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,51,148,GS Broadcast Technical Services Ltd.,5 to 9,541330,Professional,Engineering Services,905-814-7902,289-814-0016, ,more.info@gsbts.com,www.gsbts.com,385,Admiral Blvd,L5T 2M8, ,17,2017/11/09 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,52,153,Aican Graphics Inc.,1 to 4,323119,Manufacturing,Other Printing,416-249-1122,416-946-1976,1-877-356-7446,sales@aican.ca,www.aican.ca,375,Admiral Blvd,L5T 2N1, ,1,2022/08/19 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,53,156,Kentec Corp.,1 to 4,418410,Wholesale,Chemical (except Agricultural) and Allied Product Wholesaler-Distributors,905-256-3515,905-256-0567, ,kenteccorp@yahoo.ca, ,385,Admiral Blvd,L5T 2N8, ,24&25,2022/06/03 00:00:00+00,Gateway EA (East),5, 
-79.6944398159815,43.6507757693231,54,159,Accuplus Dental Laboratories Inc.,10 to 19,339110,Manufacturing,Medical Equipment and Supplies Manufacturing,905-696-9198,905-696-9201, ,info@accuplusdentallab.com,www.accuplusdentallab.com,385,Admiral Blvd,L5T 2M8, ,8&9,2019/12/12 00:00:00+00,Gateway EA (East),5, 
-79.693467894052,43.6517023867164,55,161,M L G Enterprises,10 to 19,311990,Manufacturing,All Other Food Manufacturing,905-696-6947,905-696-6955, ,office-mgr@mlgfoodingredients.com,www.mlgfoodingredients.com,425,Admiral Blvd,L5T 2N1, ,6 to 8,2022/08/19 00:00:00+00,Gateway EA (East),5, 
-79.699360507502,43.6442565891303,56,176,Exclusive Brands,20 to 49,311990,Manufacturing,All Other Food Manufacturing,905-795-8781, , , , ,60,Admiral Blvd,L5T 2W1, , ,2022/07/29 00:00:00+00,Gateway CC,5, 
-79.7015747102108,43.6455110450469,57,177,Trophy Foods Inc.,100 to 299,311919,Manufacturing,Other Snack Food Manufacturing,905-670-8050,905-670-4256,1-800-693-6887,generalinquiries@trophyfoods.com,www.trophyfoods.com,71,Admiral Blvd,L5T 2T1, , ,2019/12/12 00:00:00+00,Gateway CC,5, 
-79.6407244117219,43.6393661500095,58,186,World Wide Exhibits Inc.,10 to 19,337215,Manufacturing,"Showcase, Partition, Shelving and Locker Manufacturing",905-624-1216,905-624-2645, ,info@worldwideexhibits.com,www.worldwideexhibits.com,1134,Aerowood Dr,L4W 1Y5, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6402021090938,43.6388985330889,59,188,United Steelworkers,5 to 9,813930,Other Services,Labour Organizations,905-629-4991,905-629-2610, ,emarquis@usw.ca,www.usw.ca,1158,Aerowood Dr,L4W 1Y5, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6397011856073,43.6384891545926,60,190,Universal Truck,10 to 19,811119,Other Services,Other Automotive Mechanical and Electrical Repair and Maintenance,905-564-4944, ,1-888-313-0122,lee@universaltrucksales.com, ,1180,Aerowood Dr,L4W 1Y5, , ,2022/06/15 00:00:00+00,Northeast EA (West),5, 
-79.6367652949222,43.5912895357375,61,193,First Book Canada,10 to 19,451310,Retail,Book stores and news dealers, , ,1-866-732-3669,help@firstbook.org,www.firstbookcanada.org,90,Burnhamthorpe Rd W,L5B 3C3, ,1502,2019/06/07 00:00:00+00,DT Core,7, 
-79.63843234234,43.6381572276937,62,197,Graphic Commerce Ltd.,5 to 9,417920,Wholesale,"Service Establishment Machinery, Equipment and Supplies Wholesaler-Distributors",905-624-3124, ,1-800-543-2796,info@graphiccommerce.com,www.graphiccommerce.com,1200,Aerowood Dr,L4W 2S7, ,17&18,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,63,204,Gridrax Store Equipment,5 to 9,418990,Wholesale,All Other Wholesaler-Distributors,905-282-0544,905-629-4623, ,susan@gridrax.com,www.gridrax.com,1200,Aerowood Dr,L4W 2S7, ,43,2019/12/12 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,64,205,Kitchen Crafters,1 to 4,444190,Retail,Other Building Material Dealers,905-453-3777, , ,dean@kitchencrafters.ca,www.kitchencrafters.ca,1200,Aerowood Dr,L4W 2S7, ,20,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,65,206,Tri-Alliance Freight Services Inc.,5 to 9,488519,Transportation,Other Freight Transportation Arrangement,905-206-0606,905-206-0605, ,ops@trialliance-freight.com,www.trialliance-freight.com,1200,Aerowood Dr,L4W 2S7, ,35,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,66,209,Royal Cargo Canada,1 to 4,484110,Transportation,"General Freight Trucking, Local",905-566-5665, , ,royalcargocanada@gmail.com,www.royalcargocanada.ca,1200,Aerowood Dr,L4W 2S7, ,46,2019/12/12 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,67,212,Premium Impex Inc.,1 to 4,419120,Wholesale,Wholesale Trade Agents and Brokers,403-681-0947, , ,info@premiumimpex.com,www.premiumimpex.com,1200,Aerowood Dr,L4W 2S7, ,37,2022/07/13 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,68,215,Centura Brands Inc.,20 to 49,418910,Wholesale,Log and Wood Chip Wholesaler-Distributors,905-602-1965,905-602-1936, ,karlac@cbinc.com,www.cbinc.com,1200,Aerowood Dr,L4W 2S7, ,50,2017/11/09 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,69,218,Hygenica Inc.,1 to 4,541710,Professional,"Research and Development in the Physical, Engineering and Life Sciences", , , ,sales@hygenica.com,www.hygenica.com,1200,Aerowood Dr,L4W 2S7, ,22,2017/06/06 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,70,227,TK Elevator,50 to 99,238291,Construction,Elevator and Escalator Installation Contractors,905-602-6232,905-602-1109, ,Sean.ranger@tkelevator.com,www.tkelevator.com,1200,Aerowood Dr,L4W 2S7, ,41 & 42,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,71,229,The Next Trend Designs Inc.,20 to 49,541891,Professional,Specialty Advertising Distributors,905-629-2666,905-629-2551,1-800-891-2666,info@tntworld.com,www.tntworld.com,1200,Aerowood Dr,L4W 2S7, ,8,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.63843234234,43.6381572276937,72,231,Galaxy Security,5 to 9,446130,Retail,Optical Goods Stores,905-238-6998,908-238-6982,1-855-999-6998,info@galaxysecurity.com,www.galaxysecurity.com,1200,Aerowood Dr,L4W 2S7, ,5,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.6370928536571,43.6393072106749,73,234,D K Truck and Trailer Services,1 to 4,811111,Other Services,General Automotive Repair, ,905-997-6491, , , ,1220,Aerowood Dr,L4W 1B7, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6367074991908,43.6396527760727,74,239,401 Dixie Auto Collision Ltd.,10 to 19,811121,Other Services,"Automotive Body, Paint and Interior Repair and Maintenance",905-670-1350,905-232-2880, ,401dixiecollision@rogers.com,www.401dixieautocollision.com,1232,Aerowood Dr,L4W 1B7, , ,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.6188407760137,43.6495334461492,75,247,Carl's Auto Repairs & Services,1 to 4,811111,Other Services,General Automotive Repair,905-238-6666, , ,cjmkerr@msn.com, ,1885,Sismet Rd,L4W 1W8, ,7,2022/07/28 00:00:00+00,Northeast EA (West),5, 
-79.6364042664364,43.6399246951379,76,254,Kien Fat Trading Inc.,1 to 4,413110,Wholesale,General-Line Food Wholesaler-Distributors,905-238-6234,905-238-8977, ,info@kienfat.com,www.kienfat.com,1250,Aerowood Dr,L4W 1B7, , ,2022/06/10 00:00:00+00,Northeast EA (West),5, 
-79.6361287365045,43.6401715266942,77,257,D-Zel Technique Inc,5 to 9,811111,Other Services,General Automotive Repair,905-232-3377,905-232-3378, ,dieseltechnique@gmail.com, ,1270,Aerowood Dr,L4W 1B7, ,B,2022/06/16 00:00:00+00,Northeast EA (West),5, 
-79.6354149585659,43.6408117438001,78,260,Dafco Filtration Group,100 to 299,333413,Manufacturing,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,905-602-1010,905-602-1606, ,customerservice@filtrationgroup.com,www.dafcofiltrationgroup.com,1300,Aerowood Dr,L4W 1B7, , ,2022/07/29 00:00:00+00,Northeast EA (West),5, 
-79.6367059208049,43.6420114186937,79,261,WaterDale Inc.,20 to 49,418990,Wholesale,All Other Wholesaler-Distributors,905-624-2600,905-624-1609,1-800-565-1600,sales@waterdale.com,www.waterdale.com,1303,Aerowood Dr,L4W 2P6, ,A,2021/06/04 00:00:00+00,Northeast EA (West),5, 
-79.6339742507977,43.6421030460322,80,264,Nikon Canada Inc.,50 to 99,417930,Wholesale,"Professional Machinery, Equipment and Supplies Wholesaler-Distributors",905-625-9910,905-625-6446,1-877-534-9910, ,www.nikon.ca,1366,Aerowood Dr,L4W 1C1, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6184081696214,43.5807111632216,81,266,Tony's Classic Cuts,1 to 4,812114,Other Services,Barber Shops,905-566-8656, , , , ,25,Agnes St,L5B 3X7, ,4,2022/06/24 00:00:00+00,DT Cooksville,7, 
-79.6184081696214,43.5807111632216,82,267,Agnes Medical Pharmacy,5 to 9,446110,Retail,Pharmacies and Drug Stores,905-272-0303,905-268-0974, ,agnespharmacy@gmail.com, ,25,Agnes St,L5B 3X7, ,3,2022/06/24 00:00:00+00,DT Cooksville,7, 
-79.6184081696214,43.5807111632216,83,268,Esmar Nursing and Community Care Agency Inc.,50 to 99,623110,Health Care,Nursing Care Facilities,905-232-9040,905-232-9224, , , ,25,Agnes St,L5B 3X7, ,2,2018/12/30 00:00:00+00,DT Cooksville,7, 
-79.6299017406617,43.6330000081025,84,270,Cyber Plastic Machinery Inc,1 to 4,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",905-625-2777, , ,sales@cyberplasticmachinery.com,www.cpmionline.com,1200,Aimco Blvd,L4W 1B2, ,3,2021/05/17 00:00:00+00,Northeast EA (West),5, 
-79.6299017406617,43.6330000081025,85,271,K B C Metal Manufacturing Ltd.,5 to 9,811310,Other Services,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,905-238-4871,905-238-3367, ,kbcmetal@bellnet.ca, ,1200,Aimco Blvd,L4W 1B2, ,10&12,2022/05/11 00:00:00+00,Northeast EA (West),5, 
-79.6286799320051,43.6337840449216,86,280,PREM Auto & Truck Repairs Inc.,1 to 4,811199,Other Services,All Other Automotive Repair and Maintenance, , , , , ,1246,Aimco Blvd,L4W 1B2, , ,2021/07/02 00:00:00+00,Northeast EA (West),5, 
-79.6283966990387,43.636421042702,87,288,Noram Glass,100 to 299,327214,Manufacturing,Glass Manufacturing,905-238-0470,905-238-7215, ,purchasing@noramglass.com,www.noramglass.com,1325,Aimco Blvd,L4W 1B4, , ,2022/05/27 00:00:00+00,Northeast EA (West),5, 
-79.6265655846867,43.6373917123485,88,290,East Penn Power Battery Sales Ltd.,10 to 19,415290,Wholesale,Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors,905-624-6700,905-624-5693,1-800-268-2066, ,www.eastpenncanada.com,1375,Aimco Blvd,L4W 1B5, ,1&2,2022/05/27 00:00:00+00,Northeast EA (West),5, 
-79.6265655846867,43.6373917123485,89,291,Dixie Reno,5 to 9,238340,Construction,Tile and Terrazzo Contractors,905-752-6880, , ,orders@dixiereno.com,www.dixiereno.com,1375,Aimco Blvd,L4W 1B5, ,3&4,2022/05/27 00:00:00+00,Northeast EA (West),5, 
-79.6229696581305,43.6387984649455,90,297,Staples Business Depot Inc.,20 to 49,453210,Retail,Office Supplies and Stationery Stores,905-602-5888,905-602-5846, , ,www.staples.ca,1530,Aimco Blvd,L4W 5K1, , ,2022/05/18 00:00:00+00,Northeast EA (West),5, 
