FID,ID1,Name,NAICSCode,NACSDescri,NAICSTitle,EmplRange,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Street_Add,Bldg_No,Unit_No,PostalCode,Modified_D,PIN,Character,Ward
11,47582,Mississauga School of Arts and Design,611690,Educational,All Other Schools and Instruction,1 to 4,905-232-0278, , , ,www.joinmsad.com,257,Dundas St E,257 Dundas St E,Bldg 1,10,L5A 1W8,2017/11/09 00:00:00+00,2934400,Cooksville NHD (East),7
12,47812,Mogo,522390,Finance,Other Activities Related to Credit Intermediation,1 to 4,905-361-0295,905-361-0296, ,mississauga@mogo.ca,www.mogo.ca,257,Dundas St E,257 Dundas St E,Bldg 2,2,L5A 1W8,2017/11/08 00:00:00+00,2934400,Cooksville NHD (East),7
13,45668,Sunrise Senior Living,623110,Health Care,Nursing Care Facilities,50 to 99,905-625-1344,905-625-4135, ,Mississauga.ED@Sunrise-al.com,www.sunriseseniorliving.com,1279,Burnhamthorpe Rd E,1279 Burnhamthorpe Rd E, , ,L4Y 3V7,2018/09/30 00:00:00+00,2382800,Rathwood NHD,3
14,54028,B N C Bakery,445291,Retail,Baked Goods Stores,1 to 4,905-896-7888, , , , ,257,Dundas St E,257 Dundas St E,Bldg 1,12&13,L5A 1W8,2017/11/08 00:00:00+00,2934400,Cooksville NHD (East),7
15,20487,Holy Spirit Anglican Church,813110,Other Services,Religious Organizations,1 to 4,9056256650,9052721855, , ,www.holyspirtofpeace.ca,1170,Tynegrove Rd,1170 Tynegrove Rd, , ,L4W 3B2,2018/12/30 00:00:00+00,2383000,Rathwood NHD,3
16,91236,Tokyo Cheescake Cafe,722512,Accommodation,Limited-service eating places,1 to 4,905-896-7888, , ,snowspoon88@gmail.com, ,257,Dundas St E,257 Dundas St E, , ,L5A 1W8,2018/09/30 00:00:00+00,2934400,Cooksville NHD (East),7
17,2077,Tina's Spa and Salon inc.,812115,Other Services,Beauty Salons,1 to 4,905-270-4382, , ,tinaspaandsalon@gmail.com,www.tinaspaandsalon.ca,980,Burnhamthorpe Rd E,980 Burnhamthorpe Rd E, ,5,L4Y 2X6,2017/11/08 00:00:00+00,2383800,Applewood NHD,3
18,7227,Auto Park,441110,Retail,New Car Dealers,10 to 19,905-896-6133,905-896-6149,1-888-200-9465, ,www.autoparkmississauga.ca,225,Dundas St E,225 Dundas St E, ,A,L5A 1W8,2017/11/08 00:00:00+00,2934600,Cooksville NHD (East),7
19,21327,Humberview Motorsports,441110,Retail,New Car Dealers,20 to 49,4162594404,9058966160,8883272498, ,www.humberviewmotorsports.com,225,Dundas St E,225 Dundas St E, ,B,L5A 1W8,2018/12/30 00:00:00+00,2934600,Cooksville NHD (East),7
20,51823,Lee & Kim Auto Repairs,811111,Other Services,General Automotive Repair,1 to 4,905-272-2210,905-270-4234, ,leekim2292@yahoo.ca, ,225,Dundas St E,225 Dundas St E, ,4,L5A 1W8,2017/11/08 00:00:00+00,2934600,Cooksville NHD (East),7
21,7022,Da Cunha Voyages,561510,Administrative,Travel Agencies,1 to 4,905-896-3636, , ,maria@dacunhavoyages.com,www.dacunhavoyages.com,169,Dundas St E,169 Dundas St E, ,201,L5A 1W8,2018/09/30 00:00:00+00,2934700,Cooksville NHD (East),7
22,7013,Panchvati Supermarket,445110,Retail,Supermarkets and Other Grocery (except Convenience) Stores,1 to 4,905-232-3955, , , , ,169,Dundas St E,169 Dundas St E, ,1 to 4,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
23,7009,CP Accounting Services,523930,Finance,Investment Advice,1 to 4,647-501-9108,289-232-1328, ,cpaccounting@lve.com, ,169,Dundas St E,169 Dundas St E, ,209,L5A 1W8,2018/09/30 00:00:00+00,2934700,Cooksville NHD (East),7
24,7012,We Care Pharmacy,446110,Retail,Pharmacies and Drug Stores,N/A,905-275-7555, , , , ,169,Dundas St E,169 Dundas St E, ,6,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
25,7017,Dental Office - Dr. Karen Bai,621210,Health Care,Offices of Dentists,1 to 4,905-270-3161,905-270-5590, ,smiles4u@bellnet.ca, ,169,Dundas St E,169 Dundas St E, ,5,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
26,7016,Jenny Nails Design 888,812115,Other Services,Beauty Salons,1 to 4,905-275-8188, , , , ,169,Dundas St E,169 Dundas St E, ,8,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
27,7018,Mississauga Total Rehab Chiropactic/Physiotheraphy,621110,Health Care,Offices of Physicians,1 to 4,905-361-5702, , , , ,169,Dundas St E,169 Dundas St E, ,9,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
28,54855,Man Doo Hyang,722511,Accommodation,Full-service restaurants,5 to 9,905-897-3355, , , , ,169,Dundas St E,169 Dundas St E, ,10 to 12,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
29,85591,Topron Consulting,541619,Professional,Other Management Consulting Services,1 to 4,647-654-5111, , ,info@topron.ca,www.topron.ca,169,Dundas St E,169 Dundas St E, ,"205, 214&215",L5A 1W8,2018/09/30 00:00:00+00,2934700,Cooksville NHD (East),7
30,85587,Instill Learning,611690,Educational,All Other Schools and Instruction,1 to 4,647-739-9336, , ,instilllearning@gmail.com, ,169,Dundas St E,169 Dundas St E, ,212,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
31,85592,Express Tax,541213,Professional,Tax Preparation Services,1 to 4,647-230-8194, , ,info@xpresstax.ca,www.xpresstax.ca,169,Dundas St E,169 Dundas St E, ,211,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
32,86431,Adam Travel,561510,Administrative,Travel Agencies,1 to 4,416-727-1000,289-724-6163, , ,www.adamtravel.com,169,Dundas St E,169 Dundas St E, ,202,L5A 1W8,2018/09/30 00:00:00+00,2934700,Cooksville NHD (East),7
33,86430,Earl F. Dacara,541190,Professional,Other Legal Services,1 to 4,647-302-3508,416-739-7559, ,dacaralegal@hotmail.com, ,169,Dundas St E,169 Dundas St E, ,203,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
34,87965,Shoes By Chavez Inc,448210,Retail,Shoe Stores,5 to 9,647-385-6840, , , , ,169,Dundas St E,169 Dundas St E, ,206 to 208,L5A 1W8,2017/11/08 00:00:00+00,2934700,Cooksville NHD (East),7
35,10992,Clarkson Medical Arts Centre,621110,Health Care,Offices of Physicians,1 to 4,905-855-0988,905-855-0986,1-855-916-7626,info@clarksonmedicalarts.com,www.clarksonmedicalarts.com,1020,Johnson's Lane,1020 Johnson's Lane, ,A5-A6,L5J 2P7,2017/11/08 00:00:00+00,903400,Clarkson - Lorne Park NHD,2
36,24071,Blyth Academy Port Credit,611110,Educational,Elementary and Secondary Schools,10 to 19,905-990-2855, , ,portcredit@blytheducation.com,www.blytheducation.com,850,Enola Ave,850 Enola Ave, , ,L56 4B2,2017/11/08 00:00:00+00,32500,Lakeview NHD,1
37,6951,Sacho Satran Convenience Store,445120,Retail,Convenience Stores,1 to 4,905-848-7004,905-848-7004, , , ,157,Dundas St E,157 Dundas St E, ,7,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
38,6943,Ontario Korean Works,541213,Professional,Tax Preparation Services,1 to 4,905-279-3030,866-412-7245, ,onjuservice@gmail.com, ,157,Dundas St E,157 Dundas St E, ,1,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
39,6947,Korea Beauty Salon,812115,Other Services,Beauty Salons,1 to 4,905-270-8088, , , , ,157,Dundas St E,157 Dundas St E, ,3A,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
40,6944,Dr. Saima Shora Dentistry,621210,Health Care,Offices of Dentists,1 to 4,905-270-5555, , ,info@drshora.com, ,157,Dundas St E,157 Dundas St E, ,2B,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
41,6948,Asia Bakery,445291,Retail,Baked Goods Stores,1 to 4,905-615-7770, , , , ,157,Dundas St E,157 Dundas St E, ,4,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
42,6952,Al-Basir Halal Meats,445210,Retail,Meat Markets,1 to 4,905-270-0005, , , , ,157,Dundas St E,157 Dundas St E, ,6,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
43,47932,Woori Meat Shop Inc,445210,Retail,Meat Markets,1 to 4,905-277-9990, , , , ,157,Dundas St E,157 Dundas St E, ,1A,L5A 1W8,2018/09/30 00:00:00+00,2934800,Cooksville NHD (East),7
44,85586,Afghan Kitchen,722511,Accommodation,Full-service restaurants,1 to 4,905-277-1600, , , , ,157,Dundas St E,157 Dundas St E, ,5,L5A 1W8,2017/11/08 00:00:00+00,2934800,Cooksville NHD (East),7
45,6820,Cooksville Service Centre,811111,Other Services,General Automotive Repair,1 to 4,905-277-9751,905-277-0552, , , ,135,Dundas St E,135 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2934900,DT Cooksville,7
46,6760,J & D Cleaners,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),N/A,905-279-8885, , , , ,129,Dundas St E,129 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2935100,DT Cooksville,7
47,6788,J & D Cleaners,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),1 to 4,905-279-8885, , , , ,131,Dundas St E,131 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2935100,DT Cooksville,7
48,87950,Annova Staffing Services Inc.,561310,Administrative,Employment Placement Agencies and Executive Search Services,1 to 4,905-232-0270, , , , ,131,Dundas St E,131 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2935100,DT Cooksville,7
49,83805,Smart Accounting Services,541212,Professional,Offices of  Accountants,1 to 4,647-201-6848,647-932-1856, ,smartaccounting@live.ca,www.smart-accounting.ca,127,Dundas St E,127 Dundas St E, ,A,L5A 1W7,2018/09/30 00:00:00+00,2935200,DT Cooksville,7
50,6757,AR International,523130,Finance,Commodity Contracts Dealing,1 to 4,905-949-0702, , , , ,125,Dundas St E,125 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2935300,DT Cooksville,7
51,6754,My Electronics,443143,Retail,"Appliance, television and other electronics stores S",1 to 4,905-272-2777, , , , ,123,Dundas St E,123 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2935400,DT Cooksville,7
52,56344,Mona Lisa After Denture Clinic,621210,Health Care,Offices of Dentists,1 to 4,905-896-7503,905-361-0361, ,monalisaafter@roger.com, ,121,Dundas St E,121 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2935500,DT Cooksville,7
53,6721,Dubai Beauty Salon,812115,Other Services,Beauty Salons,1 to 4,905-275-8933, , , ,www.dubaibeautysalon.ca,119,Dundas St E,119 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2935600,DT Cooksville,7
54,6674,Imperial Hair Design,812116,Other Services,Unisex Hair Salons,1 to 4,905-272-7129, , , , ,117,Dundas St E,117 Dundas St E, ,A,L5A 1W7,2018/09/30 00:00:00+00,2935700,DT Cooksville,7
55,6671,Van Xuan Inc,445299,Retail,All Other Specialty Food Stores,1 to 4,905-270-5299,905-281-9970, , , ,115,Dundas St E,115 Dundas St E, , ,L5A 1W7,2018/09/30 00:00:00+00,2935800,DT Cooksville,7
56,6660,Wall Street Finance (Canada) Ltd,522390,Finance,Other Activities Related to Credit Intermediation,1 to 4,905-232-2822,905-848-3443, ,info@wallstreetfinance.ca,www.wallstreetfinance.ca,113,Dundas St E,113 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2935900,DT Cooksville,7
57,52503,Destiny Hair Design,812116,Other Services,Unisex Hair Salons,1 to 4,905-232-5333, , ,destinyhair.d@gmail.com, ,113,Dundas St E,113 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2935900,DT Cooksville,7
58,57655,Desi Movie Collection,414450,Wholesale,Video Recording Merchant Wholesalers,1 to 4,905-306-0017, , , , ,111,Dundas St E,111 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2936000,DT Cooksville,7
59,6611,B & L Jewelry Exchange,448310,Retail,Jewellery Stores,1 to 4,905-361-0598, , , , ,109,Dundas St E,109 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2936100,DT Cooksville,7
60,54061,Thamor Jewels/YOA Money Transfer /,522390,Finance,Other Activities Related to Credit Intermediation,5 to 9,905-290-8318,905-268-8318, , ,www.remitbee.com,107,Dundas St E,107 Dundas St E, , ,L5A 1W7,2017/11/08 00:00:00+00,2936200,DT Cooksville,7
61,56199,Thamor Jewels,448310,Retail,Jewellery Stores,N/A,905-290-8318, , , , ,107,Dundas St E,107 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2936200,DT Cooksville,7
62,6605,Jung Thai Restaurant,722511,Accommodation,Full-service restaurants,1 to 4,905-277-2502, , , , ,105,Dundas St E,105 Dundas St E, , ,L5A 1W7,2018/09/30 00:00:00+00,2936300,DT Cooksville,7
63,6602,Dollar Links,452999,Retail,All Other Miscellaneous General Merchandise Stores,1 to 4,416-855-6080, , ,info@mydollarlinks.com,www.mydollarlinks.com,103,Dundas St E,103 Dundas St E, ,1,L5A 1W7,2017/11/08 00:00:00+00,2936400,DT Cooksville,7
64,56849,Gwan Soon Lee Tattoos and Piercings,812190,Other Services,Other Personal Care Services,1 to 4,416-909-9055, , , ,www.gwansoonleetattoo.com,103,Dundas St E,103 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2936400,DT Cooksville,7
65,6599,Mitsu Solutions,561310,Administrative,Employment Placement Agencies and Executive Search Services,1 to 4,905-232-5200, , ,info@mitsuenterprises.ca,www.mitsuenterprises.ca,101,Dundas St E,101 Dundas St E, ,A,L5A 1W7,2017/11/08 00:00:00+00,2936500,DT Cooksville,7
66,47411,Rhythm Travel and Tours,561510,Administrative,Travel Agencies,1 to 4,9052322000, , , ,www.rhythmtravel2000.com,99,Dundas St E,99 Dundas St E, ,A,L5A 1W7,2018/12/30 00:00:00+00,2936600,DT Cooksville,7
67,7518,Dollarama,452999,Retail,All Other Miscellaneous General Merchandise Stores,10 to 19,9052819895, , , ,www.dollarama.com,93,Dundas St E,93 Dundas St E, ,2,L5A 1W7,2018/12/30 00:00:00+00,2936700,DT Cooksville,7
68,7509,Skyview Travel,561510,Administrative,Travel Agencies,1 to 4,905-306-1900, , , ,www.flywell2india.com,93,Dundas St E,93 Dundas St E, ,111,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
69,7526,Grand Master Kwang Lee Tae Kwon Do,611620,Educational,Athletic Instruction,1 to 4,905-272-5888, , , , ,93,Dundas St E,93 Dundas St E, ,Basement,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
70,7525,Save on Travel,561510,Administrative,Travel Agencies,1 to 4,905-949-1999,905-949-1838, , , ,93,Dundas St E,93 Dundas St E, ,104,L5A 1W7,2018/09/30 00:00:00+00,2936700,DT Cooksville,7
71,7527,Dental Office - Dr. Samia Iskander / Dr. Dr. T Iskander,621210,Health Care,Offices of Dentists,1 to 4,905-803-9900,905-803-9904, ,samiaiskander@rogers.com, ,93,Dundas St E,93 Dundas St E, ,101,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
72,50107,GTA Credit,522390,Finance,Other Activities Related to Credit Intermediation,1 to 4,905-275-4200,855-650-1100, ,janet@gtacredit.com,www.gtacredit.com,93,Dundas St E,93 Dundas St E, ,110,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
73,56846,AA Account Tax Services - Azhar Hussain,541212,Professional,Offices of  Accountants,1 to 4,647-892-7157, , , , ,93,Dundas St E,93 Dundas St E, ,105,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
74,58636,Homeopathic Clinic,621390,Health Care,Offices of All Other Health Practitioners,1 to 4,647-868-4340, , , , ,93,Dundas St E,93 Dundas St E, ,107,L5A 1W7,2018/09/30 00:00:00+00,2936700,DT Cooksville,7
75,85584,Doctor Pest Control Inc.,561710,Administrative,Exterminating and Pest Control Services,1 to 4,416-414-9697, , , ,www.doctorpestcontrol.ca,93,Dundas St E,93 Dundas St E, ,105,L5A 1W7,2018/09/30 00:00:00+00,2936700,DT Cooksville,7
76,85583,Pakworld Travels,561510,Administrative,Travel Agencies,1 to 4,647-497-7749,647-497-7759, , ,www.pakworldtravels.com,93,Dundas St E,93 Dundas St E, ,105,L5A 1W7,2017/11/08 00:00:00+00,2936700,DT Cooksville,7
77,87740,Wendy's Tax and Accounting Services,541213,Professional,Tax Preparation Services,1 to 4,647-495-6889, , , , ,93,Dundas St E,93 Dundas St E, ,107,L5A 1W7,2018/09/30 00:00:00+00,2936700,DT Cooksville,7
78,91285,Lyceum Security,561612,Administrative,Security Guard and Patrol Services,1 to 4,647-629-8433, , , , ,93,Dundas St E,93 Dundas St E, ,112,L5A 1W7,2018/09/30 00:00:00+00,2936700,DT Cooksville,7
79,7320,RAI Consultants,911410,Public Administration,Foreign Affairs,1 to 4,905-803-9188,905-803-9853, ,raiconsultant@yahoo.com,www.raigroupinc.com,55,Dundas St E,55 Dundas St E, ,201&202,L5A 1W1,2017/11/08 00:00:00+00,2936800,DT Cooksville,7
80,7315,Wow! Korean Restaurant,722511,Accommodation,Full-service restaurants,1 to 4,905-896-2315, , , , ,55,Dundas St E,55 Dundas St E, ,4,L5A 1W1,2018/09/30 00:00:00+00,2936800,DT Cooksville,7
81,7319,M & M Accounting,541212,Professional,Offices of  Accountants,1 to 4,905-949-1011, , , , ,55,Dundas St E,55 Dundas St E, ,203,L5A 1W1,2017/11/08 00:00:00+00,2936800,DT Cooksville,7
82,7327,UR Cell Connections Inc.,443143,Retail,"Appliance, television and other electronics stores n",1 to 4,905-566-8593, , ,urcell@hotmail.ca, ,55,Dundas St E,55 Dundas St E, ,2,L5A 1W1,2017/11/08 00:00:00+00,2936800,DT Cooksville,7
83,7323,Dundas Clinical Pharmacy,446110,Retail,Pharmacies and Drug Stores,5 to 9,905-277-8822,905-277-3398, , , ,55,Dundas St E,55 Dundas St E, ,1,L5A 1W1,2017/11/08 00:00:00+00,2936800,DT Cooksville,7
84,7322,ANT Hair Salon,812116,Other Services,Unisex Hair Salons,1 to 4,905-277-3344, , ,foxyilashes@gmail.com, ,55,Dundas St E,55 Dundas St E, ,3,L5A 1W1,2017/11/08 00:00:00+00,2936800,DT Cooksville,7
85,7326,Friend's Staffing Inc.,561310,Administrative,Employment Placement Agencies and Executive Search Services,1 to 4,905-848-1400,905-848-8010, ,tejash@friendlystaffing.net,www.friendlystaffing.net,55,Dundas St E,55 Dundas St E, ,204,L5A 1W1,2018/09/30 00:00:00+00,2936800,DT Cooksville,7
86,56202,Senior Tamil Society of Peel,813410,Other Services,Civic and Social Organizations,N/A,905-290-3000, , ,info@peeltamilseniors.ca,www.peeltamilseniors.ca,55,Dundas St E,55 Dundas St E, ,205&206,L5A 1W1,2018/09/30 00:00:00+00,2936800,DT Cooksville,7
87,7286,Road Experts of Canada,611690,Educational,All Other Schools and Instruction,1 to 4,9052306999, , ,chawlank@yahoo.com,www.roadexperts.ca,39,Dundas St E,39 Dundas St E, ,201,L5A 1V9,2018/12/30 00:00:00+00,2937000,DT Cooksville,7
88,7288,Mississauga Travel,561510,Administrative,Travel Agencies,1 to 4,905-897-2115, , , , ,39,Dundas St E,39 Dundas St E, , ,L5A 1V9,2017/11/08 00:00:00+00,2937000,DT Cooksville,7
89,7312,Pay 2 Day,522390,Finance,Other Activities Related to Credit Intermediation,5 to 9,905-232-2329, , ,info@pay2day.ca,www.pay2day.ca,43,Dundas St E,43 Dundas St E, ,101,L5A 1V9,2017/11/08 00:00:00+00,2937000,DT Cooksville,7
90,7310,Cash 4 Gold,522390,Finance,Other Activities Related to Credit Intermediation,1 to 4,905-232-4653,905-232-4650, ,Sonny@cavicash4gold.com,www.cash4gold.com,41,Dundas St E,41 Dundas St E, ,A,L5A 1V9,2017/11/08 00:00:00+00,2937000,DT Cooksville,7
91,7517,Job Depot,561310,Administrative,Employment Placement Agencies and Executive Search Services,1 to 4,905-232-5627,905-232-4755, ,jobdepotcanada0786@gmail.com, ,39,Dundas St E,39 Dundas St E, ,204,L5A 1V9,2017/11/08 00:00:00+00,2937000,DT Cooksville,7
92,58631,Cupid Boutique,446199,Retail,All Other Health and Personal Care Stores,1 to 4,905-306-7544,416-285-1690, ,dgill@cupidboutique.com,www.cupidboutique.com,39,Dundas St E,39 Dundas St E, ,104,L5A 1V9,2017/11/08 00:00:00+00,2937000,DT Cooksville,7
93,7188,Potluck Restaurant,722512,Accommodation,Limited-service eating places,1 to 4,905-232-6555, , , , ,21,Dundas St E,21 Dundas St E, , ,L5A 1V9,2017/11/08 00:00:00+00,2937100,DT Cooksville,7
94,7084,Burrito Boyz,722512,Accommodation,Limited-service eating places,5 to 9,905-279-2699, , , ,www.burritoboyz.ca,19,Dundas St E,19 Dundas St E, , ,L5A 1V9,2017/11/08 00:00:00+00,2937100,DT Cooksville,7
95,7229,Shear Cut Barbers,812115,Other Services,Beauty Salons,5 to 9,905-848-3961,905-949-6556, , , ,23,Dundas St E,23 Dundas St E, , ,L5A 1V9,2017/11/08 00:00:00+00,2937100,DT Cooksville,7
96,7233,Pho Do Thi,722511,Accommodation,Full-service restaurants,1 to 4,905-615-9696, , , , ,25,Dundas St E,25 Dundas St E, , ,L5A 1V9,2017/11/08 00:00:00+00,2937100,DT Cooksville,7
97,7264,Dundas Dental Centre,621210,Health Care,Offices of Dentists,5 to 9,9052810273,9052818792, , , ,29,Dundas St E,29 Dundas St E, ,C,L5A 1V9,2018/12/30 00:00:00+00,2937100,DT Cooksville,7
98,7270,Kaveri Supermarket,445110,Retail,Supermarkets and Other Grocery (except Convenience) Stores,1 to 4,9052775861, , , ,www.kaverisupermarket.com,29,Dundas St E,29 Dundas St E, ,A-B,L5A 1V9,2018/12/30 00:00:00+00,2937100,DT Cooksville,7
99,7313,C I B C,522111,Finance,Personal and Commercial Banking Industry,10 to 19,9052702353,9055664454, , ,www.cibc.com,5,Dundas St E,5 Dundas St E, , ,L5A 1V9,2018/12/30 00:00:00+00,2937400,DT Cooksville,7
100,9704,St. Patrick's Church,813110,Other Services,Religious Organizations,10 to 19,905-270-2301,905-270-3469, ,info@stpatrickparish.ca,www.stpatrickparish.ca,921,Flagship Dr,921 Flagship Dr, , ,L4Y 2J6,2017/11/08 00:00:00+00,2944100,Applewood NHD,3
101,19446,St. Thomas More Elementary School,611110,Educational,Elementary and Secondary Schools,50 to 99,905-279-6472,905-279-3205, , ,www.dpcdsb.org,3270,Tomken Rd,3270 Tomken Rd, , ,L4Y 2Y7,2017/11/08 00:00:00+00,2949800,Applewood NHD,3
102,19445,Tomken Road Middle School,611110,Educational,Elementary and Secondary Schools,50 to 99,905-277-0321,905-277-3666, , ,www.peel.edu.on.ca/tomken,3200,Tomken Rd,3200 Tomken Rd, , ,L4Y 2Y6,2018/12/30 00:00:00+00,2949900,Applewood NHD,3
103,19444,Dixie Bloor Neighbourhood Centre-Ontario Early Years Centre,624110,Health Care,Child and Youth Services,5 to 9,905-276-6392,905-276-1092, ,magdalenad@dixiebloor.ca,www.dixiebloor.ca,3160,Tomken Rd,3160 Tomken Rd, , ,L4Y 2Y6,2017/11/08 00:00:00+00,2949900,Applewood NHD,3
104,3852,"Salvation Army, The - Mississauga Temple Community Church",813110,Other Services,Religious Organizations,20 to 49,9052797525,9052792465, ,info@mississaugatemple.com,www.mississaugatemple.com,3173,Cawthra Rd,3173 Cawthra Rd, , ,L5A 2X4,2018/12/30 00:00:00+00,2994400,Applewood NHD,3
105,22756,The Salvation Army Community & Family Services,624190,Health Care,Other Individual and Family Services,1 to 4,905-279-2526,905-279-0154, , ,www.safamilyservices.com,3167,Cawthra Rd,3167 Cawthra Rd, , ,L5A 2X4,2018/09/30 00:00:00+00,2994400,Applewood NHD,3
106,3883,Silverthorn Public School,611110,Educational,Elementary and Secondary Schools,20 to 49,905-279-1651,905-279-3914, , , ,3535,Cedar Creek Dr,3535 Cedar Creek Dr, , ,L4Y 2Y4,2018/12/30 00:00:00+00,3019500,Applewood NHD,3
107,1802,Applewood Heights Secondary School,611110,Educational,Elementary and Secondary Schools,50 to 99,905-279-6090,905-279-7084, , ,www.applewoodheights.ca,945,Bloor St,945 Bloor St, , ,L4Y 2M8,2018/12/30 00:00:00+00,3036000,Applewood NHD,3
